"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","CF001","gender","gender[other]","expertise","rate[aesthetic]","rate[appealing]","rate[artistic]","rate[attractive]","rate[balanced]","rate[beautiful]","rate[boring]","rate[clean]","rate[cluttered]","rate[colorHarmonious]","rate[creative]","rate[delightful]","rate[elegant]","rate[engaging]","rate[enjoyable]","rate[entertaining]","rate[exciting]","rate[fascinating]","rate[good]","rate[harmonious]","rate[interesting]","rate[inviting]","rate[likable]","rate[lovely]","rate[modern]","rate[motivating]","rate[nice]","rate[organized]","rate[overloaded]","rate[pleasing]","rate[pretty]","rate[professional]","rate[provoking]","rate[satisfying]","rate[sophisticated]","rate[tasteful]","rate[wellDesigned]","comment","FT001","interviewtime","groupTime7571","CF001Time","groupTime7574","genderTime","expertiseTime","groupTime7573","rateTime","commentTime","groupTime7572","FT001Time"
"12","2022-03-15 01:27:29","4","en","946422280","2022-03-15 01:24:32","2022-03-15 01:27:29","Y","A1","","15","5","5","5","5","4","5","1","4","1","5","4","4","4","4","5","3","4","4","4","5","4","4","4","4","4","3","4","4","1","5","5","3","4","4","4","5","5","","","178.11","16.39","","28.17","","","133.55","","","",""
"13","2022-03-15 07:25:33","4","en","958110134","2022-03-15 07:22:26","2022-03-15 07:25:33","Y","A1","","31","4","4","4","5","4","5","3","4","4","4","3","5","5","3","4","3","4","3","3","4","3","4","3","5","3","3","3","4","4","5","4","3","3","3","3","4","4","","","188.42","9.34","","25.89","","","153.19","","","",""
"14","2022-03-15 08:38:45","4","en","1388869248","2022-03-15 08:32:45","2022-03-15 08:38:45","Y","A1","","30","5","5","4","3","4","4","1","2","1","4","3","3","3","4","4","3","3","4","4","3","4","3","4","3","3","4","2","3","1","3","3","5","3","3","4","3","4","","","361.66","23.75","","17.39","","","320.52","","","",""
"15","2022-03-15 09:04:48","4","en","250146558","2022-03-15 08:54:30","2022-03-15 09:04:48","Y","A2","","15","5","4","2","5","3","5","1","2","1","5","3","4","5","4","5","1","2","4","2","5","4","4","4","4","1","3","4","3","2","5","4","1","2","4","3","4","4","I ranked ""aesthetic"" with a 5, but I would rather take that keyword out, as it makes no sense to me in this context. ""aesthetic pleasure of a visualization"" implies that it is aesthetic, so it is a bit of a pleonasm or tautology here.","","597.27","8.49","","39.37","","","549.41","","","",""
"16","2022-03-15 10:41:06","4","en","1605780317","2022-03-15 10:32:08","2022-03-15 10:41:06","Y","A1","","12","5","5","3","5","2","5","1","2","2","2","2","3","2","2","4","2","1","1","2","3","2","3","4","4","2","2","4","1","1","5","5","1","1","2","1","2","3","","","538.82","11.11","","27.08","","","500.63","","","",""
"17","2022-03-15 11:06:58","4","en","338814628","2022-03-15 11:04:33","2022-03-15 11:06:58","Y","A2","","18","1","1","3","1","2","1","2","1","1","1","3","3","1","1","2","2","2","3","3","1","3","2","3","2","3","2","2","1","1","1","2","1","2","2","3","2","1","","","146.83","11.83","","27.14","","","107.86","","","",""
"18","2022-03-15 12:25:17","4","en","285825834","2022-03-15 12:21:50","2022-03-15 12:25:17","Y","A2","","24","3","5","5","5","5","5","3","4","4","4","5","4","4","5","4","3","5","4","1","5","5","3","3","3","2","3","3","4","3","3","3","3","3","4","3","3","5","","","209.21","12.44","","32.81","","","163.96","","","",""
"20","2022-03-15 13:31:24","4","en","505298148","2022-03-15 13:28:07","2022-03-15 13:31:24","Y","A2","","20","5","5","4","5","3","5","1","4","1","4","5","5","3","5","5","4","5","5","2","4","5","4","4","3","4","4","5","4","1","4","5","5","4","3","2","4","4","Since I am not a native speaker, I'm probably not fully aware of all the subtle difference. Thus many words appear to me as synonyms.","","199.72","36.97","","9.41","","","153.34","","","",""
"21","2022-03-15 14:38:35","4","en","1843084874","2022-03-15 14:36:23","2022-03-15 14:38:35","Y","A1","","12","5","5","3","5","3","4","4","3","3","3","3","3","3","3","5","2","4","2","2","4","2","4","4","4","4","2","3","3","3","5","4","4","3","5","3","4","3","","","133.26","9.71","","13.14","","","110.41","","","",""
"22","2022-03-15 17:01:49","4","en","1879337707","2022-03-15 16:58:35","2022-03-15 17:01:49","Y","A2","","20","5","4","3","5","4","5","1","4","1","4","4","4","4","4","5","2","5","5","2","4","3","4","3","3","2","4","4","4","1","4","5","2","2","4","2","4","4","","","194.57","37.47","","13.03","","","144.07","","","",""
"23","2022-03-16 09:43:44","4","en","669631677","2022-03-16 09:40:40","2022-03-16 09:43:44","Y","A1","","20","5","4","2","2","3","5","2","1","2","2","3","5","3","5","5","2","5","5","2","3","3","2","3","5","2","5","2","2","2","2","2","2","5","4","1","2","5","","","185.21","11.81","","12.08","","","161.32","","","",""
"24","2022-03-16 13:56:05","4","en","453943002","2022-03-16 13:53:57","2022-03-16 13:56:05","Y","A2","","12","3","3","2","4","3","3","4","5","5","4","3","3","2","4","4","2","3","3","2","3","3","2","3","2","2","4","3","4","4","3","3","4","2","3","5","3","4","","","130.3","14.36","","16.3","","","99.64","","","",""
"25","2022-03-16 14:01:33","4","en","1036099874","2022-03-16 13:57:04","2022-03-16 14:01:33","Y","A2","","20","5","4","4","4","3","5","4","4","4","4","3","4","4","3","2","2","2","2","3","4","2","3","4","4","2","3","4","3","4","3","4","2","2","2","2","4","3","","","270.93","12.27","","16.9","","","241.76","","","",""
"27","2022-03-16 15:13:34","4","en","1676889059","2022-03-16 15:11:33","2022-03-16 15:13:34","Y","A2","","10","5","5","4","5","1","5","1","4","4","4","2","5","4","5","4","1","2","2","2","1","1","2","4","4","1","2","4","4","2","5","4","1","4","3","4","2","3","","","123.4","15.85","","10.84","","","96.71","","","",""
"28","2022-03-17 00:06:35","4","en","74972731","2022-03-17 00:02:44","2022-03-17 00:06:35","Y","A2","","10","5","5","5","5","3","5","2","5","2","5","5","5","5","5","5","4","4","5","3","5","5","5","5","5","3","4","5","4","2","5","5","4","4","5","4","4","5","","","232.98","28.69","","14.11","","","190.18","","","",""

